,importance-1,importance-2,importance-3,importance-4,importance-5,average
skewness-1,0.0,0.0,0.0,0.0,0.0,0.0
homogeneity-6,0.11232384,0.13412935,0.0,0.0,0.14124796,0.077540234
ASM-6,0.0,0.0,0.0,0.0,0.0,0.0
correlation-6,0.0,0.0,0.1805662,0.11601029,0.106604174,0.08063613
contrast-6,0.0,0.1036508,0.16591093,0.0,0.0,0.05391235
mean-2,0.0,0.09738515,0.11135555,0.057183154,0.03678095,0.060540963
correlation-1,0.0,0.11555038,0.0,0.11044672,0.0,0.045199417
correlation-5,0.12284052,0.026510479,0.0,0.0,0.09520062,0.048910327
skewness-7,0.105214775,0.0,0.0,0.04867779,0.07711628,0.04620177
ASM-7,0.0,0.115036525,0.0,0.0,0.0,0.023007305
contrast-4,0.13815214,0.10704269,0.0,0.076273285,0.10817589,0.0859288
homogeneity-3,0.13766731,0.0,0.1807243,0.15034203,0.09881823,0.113510385
index,0.13724808,0.14812835,0.20316333,0.14168605,0.12587515,0.15122017
contrast-7,0.10636821,0.15256622,0.15827975,0.16769136,0.10506525,0.13799416
contrast-3,0.14018512,0.0,0.0,0.1316893,0.10511558,0.075398006
