,importance-1,importance-2,importance-3,importance-4,importance-5,average
correlation-1,0.0,0.13639344,0.10407447,0.0,0.0,0.04809358
homogeneity-2,0.112416275,0.0,0.0,0.0,0.0,0.022483256
variance-5,0.15204397,0.0,0.0,0.03989669,0.044162683,0.04722067
mean-6,0.0,0.11206026,0.0,0.0,0.0,0.02241205
mean-1,0.10885839,0.0,0.0,0.059338465,0.12520492,0.058680356
skewness-2,0.0,0.0,0.10262134,0.0,0.0,0.020524267
skewness-1,0.0,0.027525887,0.11913291,0.12376555,0.0,0.054084875
mean-4,0.13213891,0.10727555,0.12320045,0.07179628,0.13847898,0.11457803
kurtosis-6,0.0,0.0,0.1135583,0.0,0.0,0.02271166
ASM-4,0.11848808,0.10701728,0.0,0.14470422,0.117355324,0.097512975
contrast-3,0.0,0.0,0.0,0.14363636,0.0,0.028727273
contrast-2,0.0,0.12452517,0.0,0.0,0.15531945,0.05596892
ASM-5,0.13016307,0.12251138,0.09649702,0.12751254,0.13741545,0.1228199
contrast-6,0.07326693,0.11222227,0.106145225,0.14534892,0.11493011,0.11038269
contrast-7,0.1726243,0.15046872,0.23477027,0.14400095,0.16713311,0.17379947
