,importance-1,importance-2,importance-3,importance-4,importance-5,average
correlation-1,0.12350386,0.1367783,0.0,0.0,0.13053413,0.07816325
contrast-4,0.0,0.11063458,0.0,0.10044536,0.10777008,0.06377
correlation-6,0.0,0.0,0.0,0.0,0.0,0.0
ASM-7,0.1491066,0.048408274,0.14090192,0.07787009,0.119804464,0.10721828
mean-5,0.16545554,0.057029214,0.0,0.0,0.0,0.04449695
ASM-5,0.0,0.0,0.06702918,0.082117304,0.10880771,0.051590838
skewness-1,0.06918748,0.0577555,0.060718562,0.0,0.0,0.037532307
skewness-2,0.0580474,0.0,0.07386222,0.08377554,0.030911976,0.049319427
mean-4,0.019969366,0.09167773,0.12710252,0.115371466,0.0,0.07082422
homogeneity-2,0.0,0.0,0.0,0.09413814,0.0,0.018827628
ASM-6,0.0,0.016403576,0.08824808,0.0490957,0.0,0.030749474
contrast-6,0.0,0.13001937,0.11647953,0.1015781,0.103929326,0.09040127
skewness-3,0.13712762,0.10539286,0.13230483,0.07928108,0.110270336,0.11287534
kurtosis-5,0.0821525,0.13219687,0.0,0.0901695,0.1430045,0.089504674
contrast-7,0.19544959,0.113703676,0.19335313,0.12615776,0.14496744,0.15472631
