,importance-1,importance-2,importance-3,importance-4,importance-5,average
contrast-5,0.026383523,0.0,0.0,0.0,0.046362508,0.014549206
ASM-6,0.0,0.0,0.0,0.0,0.0,0.0
homogeneity-2,0.03632347,0.0,0.08940462,0.0,0.0,0.025145616
ASM-1,0.0,0.0,0.0,0.0,0.0,0.0
skewness-7,0.13895942,0.0,0.13577212,0.12539129,0.16675356,0.113375284
mean-7,0.0,0.13233106,0.120231375,0.10061117,0.0,0.07063472
homogeneity-6,0.0,0.11525013,0.0,0.0,0.16507068,0.056064166
contrast-4,0.10105397,0.0,0.10188314,0.17870975,0.13883121,0.104095615
ASM-7,0.18822102,0.17601307,0.08731644,0.0,0.15382072,0.121074244
ASM-2,0.0,0.0,0.0,0.112322934,0.018724833,0.026209554
correlation-6,0.0,0.0,0.11702031,0.0,0.0,0.023404062
contrast-3,0.0,0.115449086,0.13908951,0.09713459,0.14592443,0.09951953
index,0.15320289,0.19248469,0.10243742,0.15443528,0.1645121,0.15341447
homogeneity-3,0.13653032,0.13848156,0.10684501,0.12098641,0.0,0.10056867
contrast-7,0.21932533,0.12999035,0.0,0.11040864,0.0,0.091944866
